InchiKey,SMILES,logBB,BBclass,fold
AABLHGPVOULICI-UHFFFAOYSA-N,CN1CCC24C3Oc5c(O)ccc(CC1C2(O)CCC3O)c45,,1,8
AAOVKJBEBIDNHE-UHFFFAOYSA-N,c1c(Cl)ccc(c12)N(C)C(=O)CN=C2c3ccccc3,0.330807143,1,2
AAQOQKQBGPPFNS-UHFFFAOYSA-N,CC[N+](C)(C)CC=1C=CC=CC=1[Br],,0,7
AAXVEMMRQDVLJB-UHFFFAOYSA-N,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,,1,5
ABQYZRZVRIPTPI-UHFFFAOYSA-M,COn1cc(C(=O)[O-])c(=O)c2cc3c(cc21)OCO3,-0.92049998,1,7
ABQYZRZVRIPTPI-UHFFFAOYSA-N,CON1C=C(C(c2c1cc3c(OCO3)c2)=O)C(O)=O,-0.920450005,1,2
ABWPQNZPAOAQSG-UHFFFAOYSA-N,CC1=C(C(=O)N2CC(CCC2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,-0.67000001,1,8
ABWPQNZPAOAQSG-UHFFFAOYSA-O,Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2,-0.67000002,1,10
ACBLZFZDCOGNHD-UHFFFAOYSA-N,CCCC(CCC)(CCC)C(N)=O,,1,6
ACGDKVXYNVEAGU-UHFFFAOYSA-N,NC(N)=NCCN1CCCCCCC1,,0,10
ACSIXWWBWUQEHA-UHFFFAOYSA-N,O[P](O)(=O)C([Cl])([Cl])[P](O)(O)=O,,0,6
ACTOXUHEUCPTEW-UHFFFAOYSA-N,COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(C(C)O2)N(C)C)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(C1O)N(C)C,,0,4
ACWBQPMHZXGDFX-UHFFFAOYSA-N,CCCCC(=O)N(C/C1=C/C=C(C=C1)C=2C=CC=CC=2C=3NN=NN=3)[C@]([H])(C(O)=O)C(C)(C)[H],,1,6
ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc(c1)c(OC)cc(c12)CC(C2=O)CC3CCN(CC3)Cc4ccccc4,0.82333333,1,5
ADEBPBSSDYVVLD-UHFFFAOYSA-O,COc1cc2c(cc1OC)C(=O)C(CC1CC[NH+](Cc3ccccc3)CC1)C2,0.88999999,1,7
ADIMAYPTOBDMTL-UHFFFAOYSA-N,c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3ccccc3,0.590833335,1,1
ADRHYFBXMFKHDO-UHFFFAOYSA-N,Cc1cc(nnc1NCCN1CCOCC1)c1ccc(cc1)O,,1,3
