InchiKey,smiles,logD,fold
AAAQFGUYHFJNHI-UHFFFAOYSA-N,CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,2.44,8
AAGISEXHOPCAHZ-UHFFFAOYSA-N,Cc1ccc(NC(=O)[C@H](COC(C)C)Oc2ncnc3c2cnn3-c2ncccc2Cl)nc1,2.9,4
AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35,9
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.69,3
AAOYLOCWJSLLJU-UHFFFAOYSA-N,O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O,3.85,1
AAQMXARWZZCRRO-UHFFFAOYSA-N,CC(C)c1ncc(NC(=O)OCc2ccccc2)c(=O)n1CC(=O)NC(C(=O)C(F)(F)F)C(C)C,2.63,2
AATCBLYHOUOCTO-UHFFFAOYSA-N,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,3.05,4
ABCKFBCOWDNJJY-UHFFFAOYSA-N,CN(C(=O)[C@@H](CC(=O)O)CC1CCCC1)c1nc(-c2ccccc2Cl)cs1,2.87,5
ABKGTFFKSJEJIQ-UHFFFAOYSA-N,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,1.8,8
ABNSJBVKFVKZEX-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2ccccc2F)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,2.75,5
ABSBPDLMQGHOJQ-UHFFFAOYSA-N,O=C(O)CC(=O)N[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2sc(Cl)c(Cl)c2[nH]1,1.18,6
ABXVUGZVUCYNCO-UHFFFAOYSA-N,NC1(c2ccc(-c3nc4ccccn4c3-c3ccccc3)cc2)CCC1,2.8,3
ACAKBZZHDIANCL-UHFFFAOYSA-N,O=C(N[C@@H](Cc1ccc(OCCCNc2ccccn2)cc1)C(=O)O)c1c(Cl)cccc1Cl,-0.22,3
ACALVKSHYQWUFA-UHFFFAOYSA-N,C=CC(=O)N(c1ccc(F)c(Cl)c1)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,2.01,3
ACCWNNFALZQFLO-UHFFFAOYSA-N,CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]cc(C4CC4)c23)CC1,0.9,9
ACEBSGOKBVMIBO-UHFFFAOYSA-N,CC(C)(O)c1nn2ncccc2c1-c1ccnc(Nc2cccc(C#N)c2)n1,2.8,10
ACFQPMMWHGOWAP-UHFFFAOYSA-N,O=S(=O)(CCOCCCc1ccccc1)NCCNCCc1ccc(O)c2nc(O)sc12,2.22,3
ACHAGBFZZOHGJZ-UHFFFAOYSA-N,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccc(F)cc1)c1c[nH]c(=O)c(Cl)c1,3.12,3
ACHSSEJVMHOEFV-UHFFFAOYSA-N,COc1cc(/C=C/C(=O)O)c(F)cc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC(C)(F)F,2.6,9
ACIORWSBZIKYKH-UHFFFAOYSA-N,CNc1ncc(C(=O)c2ccccc2)s1,2.36,3
ACLQAQHAGYQMSL-UHFFFAOYSA-N,Cc1csc2ncnc(N[C@H]3CC[C@H](N(C)C)CC3)c12,0.3,10
ACLZPKMBZBHXJZ-UHFFFAOYSA-N,c1ccc(Nc2[nH]nnc2-c2ccccc2)cc1,3.37,1
ACQBHJXEAYTHCY-UHFFFAOYSA-N,O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,2.68,6
ACQYAZLJSNPFDC-UHFFFAOYSA-N,COc1nc(N(CC(C)(C)F)c2cc(C(F)(F)F)ccc2F)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O,1.2,7
ACYKZNPFZJYEDL-UHFFFAOYSA-N,C[C@H]1CN(C2COC2)[C@H](C)CN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,3.5,8
ACZJULCKNQAJHZ-UHFFFAOYSA-N,O=C(C1CC1)N1[C@@H]2CC[C@@H]1CN(c1nc(Nc3cnn(CCO)c3)ncc1F)C2,1.78,5
ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,2.41,5
ADMTUTZDAMUJSX-UHFFFAOYSA-N,O[C@H]1C[C@H](CN2CC[C@H](c3ccc(F)cc3Cl)[C@@H](O)C2)CCc2cccnc21,2.9,7
ADOZDJQXPOGXEV-UHFFFAOYSA-N,CN(C)c1ccnc2sc3c(=O)n(-c4ccccc4)cnc3c12,2.34,1
ADPRFNVFBYHCJQ-UHFFFAOYSA-N,N#CCc1c[nH]c2ccc(OCc3ccccc3)cc12,3.71,9
ADQKWHMLZWYXPE-UHFFFAOYSA-N,CC(Nc1ccc(F)c(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,2.4,7
ADUIVTWDTGQPAI-UHFFFAOYSA-N,Cc1nn(C)cc1NC(=O)[C@@H]1CCCC[C@H]1C(=O)c1ccc(-c2ccc[nH]2)cc1,3.1,9
ADVCMQZATPXDMZ-UHFFFAOYSA-N,COc1ccc(-n2sc3ccccc3c2=O)cc1,3.02,4
ADVHGQZABZVPCA-UHFFFAOYSA-N,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)Cc2ccccc2C(=O)O)c1=O)C(=O)C(F)(F)F,1.14,2
AEJOEPSMZCEYJN-UHFFFAOYSA-N,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccccc1,3.4,5
AEKZALMFASFTNO-UHFFFAOYSA-N,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(Cl)c2)CC1,2.71,6
AEMJGAHADFWBRW-UHFFFAOYSA-N,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)n2)n1C(C)C,2.1,5
AEMKVXCCHGLFJH-UHFFFAOYSA-N,COc1cc(-n2nnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CC[C@@H](O)C1,3.15,3
AENHXIGVBHNYQY-UHFFFAOYSA-N,CN(C)Cc1ccn2c(-c3ccnc(N)n3)c(-c3ccc(F)cc3)nc2n1,2.1,7
AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(C(N)=S)ccn1,1.52,7
