InchiKey,logS,smiles,fold
AABQVBFXZKSBOW-UHFFFAOYSA-N,-5.318582792,CCOC(=O)c1c(C)ccc(c1OCC(=O)OCCN1CCCCC1)C(C)C,8
AAEVYOVXGOFMJO-UHFFFAOYSA-N,-4.0999999,CSc1nc(NC(C)C)nc(n1)NC(C)C,5
AAFJXZWCNVJTMK-UHFFFAOYSA-N,0.833745836,OC(C(C1OC1)O)C1OC1,9
AAMVKUKGQPPIMG-UHFFFAOYSA-N,-4.100770587,OC[C@@H](CN(c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)N([C@H](CO)O)C(=O)C)I)C(=O)C)O,4
AANKDJLVHZQCFG-UHFFFAOYSA-N,-7.695983828,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2C[C@H](O)[C@]2([C@H]3C[C@H]3[C@@H]2[C@H](C)[C@@H]2N3C[C@H](CC2)C)C)C1)C,2
AANLIOPOVSJZLY-UHFFFAOYSA-N,-1.218897311,[O-][N+](=O)c1nccn1CC(CCl)O,3
AANUQVPVSJJCRI-UHFFFAOYSA-N,-0.87,Clc1cnc2c(n1)ncnc2,5
AAOQURPCQWSPJM-UHFFFAOYSA-N,-2.549491968,CC(C(C(C)C)(COC(=O)N)COC(=O)N)C,5
AAOVKJBEBIDNHE-UHFFFAOYSA-N,-3.75,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,8
AAPPQBJWIDZNGZ-UHFFFAOYSA-N,-2.090814404,O=C1C=CC=C/C/1=C\Nc1ccccc1O,5
AAQFEENIXHFFDP-UHFFFAOYSA-N,-1.397529698,OCC(COc1ccccc1OC)(CO)CO,6
AAXVEMMRQDVLJB-UHFFFAOYSA-N,-3.4300001,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@@H](O)[C@]1([C@H]2CCC2=CC(=O)CC[C@]12C)F,4
AAYHAFZXFMIUSN-UHFFFAOYSA-N,-1.413472734,NS(=O)(=O)C1CCCCC1,4
ABFRBTDJEKZSRM-UHFFFAOYSA-N,-2.76880184,OC(C(Cl)(Cl)Cl)c1ccccc1,4
ABGIIXRNMHUKII-UHFFFAOYSA-N,-4.644710666,Clc1ccc(cc1)/C=C/C(=O)c1ccccc1,10
ABGJIKXMJUSARA-UHFFFAOYSA-N,-1.359116097,OCCn1c(CC)cnc1[N+](=O)[O-],10
ABICJYZKIYUWEE-UHFFFAOYSA-N,-2.28,O=C1NC(=O)C(C(=O)N1)[N+](=O)[O-],4
ABQKHKWXTUVKGF-UHFFFAOYSA-N,-4.721247778,S=C=Nc1ccc(cc1)C,4
ABSDZQDZDHJMPX-UHFFFAOYSA-N,-1.626342493,CCCCOCC(COCCCC)O,9
ABUKMOCUMIPDHV-UHFFFAOYSA-N,-3.000470212,OC(=O)C(c1ccccc1)Oc1ccccc1,4
ABVVEAHYODGCLZ-UHFFFAOYSA-N,-4.161699215,CCCCCCCCCCCCCN,10
ABWLRVJYVVQTGQ-UHFFFAOYSA-N,0.105903163,NC(=S)N/N=C/c1cccnc1,2
ABZLDANJLQFTLS-UHFFFAOYSA-N,-2.334660872,CCc1cnc(n1CCOC(=O)CCC(=O)O)[N+](=O)[O-],3
ACAZKHULUUVWCY-UHFFFAOYSA-N,-3.516842956,CCCCCC(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,7
ACBMYYVZWKYLIP-UHFFFAOYSA-N,-1.72,CCCCCC(O)(C)C,8
ACFHHZJOAUZSJU-UHFFFAOYSA-N,-2.595826755,CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],5
ACFSLNOJYWCHEO-UHFFFAOYSA-N,-3.284306346,OCCN1CCN(CC1)CC(COc1c(ccc(c1C(=O)OC)C)C(C)C)O,5
ACGUYXCXAPNIKK-UHFFFAOYSA-N,-3.463347924,Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl,7
ACIVXVCFXWJISJ-UHFFFAOYSA-N,-1.802022555,CCC(C(=O)NC(=O)N)(CC)Cl,1
ACJHFLOITZTLEZ-UHFFFAOYSA-N,-0.780918661,CCN(CC(COC(=O)N)(COC(=O)N)CC)CC,9
ACRBVLNVNAEIRT-UHFFFAOYSA-N,-2.165084125,CCCC(COC(=O)N(C)C)(CO)C,8
ACSIXWWBWUQEHA-UHFFFAOYSA-N,-2.792915159,ClC(P(=O)(O)O)(P(=O)(O)O)Cl,9
ACTRVOBWPAIOHC-UHFFFAOYSA-N,0.198674248,S[C@H]([C@@H](C(=O)O)S)C(=O)O,4
ADBOAGBBFIEYBZ-UHFFFAOYSA-N,-1.845924956,N/C(=N\CCOCc1ccccc1)/CSS(=O)(=O)O,1
ADIMAYPTOBDMTL-UHFFFAOYSA-N,-4.05321021,O=C1Nc2ccc(cc2C(=NC1O)c1ccccc1)Cl,6
ADLZRPUDXVXGRQ-UHFFFAOYSA-N,-2.650508016,CN(c1c(C)n(C2CCCC2)c(=O)n(c1=O)C)C,7
ADNAPRCXSGMYRO-UHFFFAOYSA-N,-1.420474864,CCC(C#C)(OC)C,5
